Club,Stadium,Address,Capacity
Ajax,Johan Cruyff Arena,"ArenA Boulevard 1, 1101 AX Amsterdam",55000
PSV,Philips Stadion,"Frederiklaan 10a, 5616 NH Eindhoven",35000
Feyenoord,De Kuip,"Van Zandvlietplein 3, 3077 AA Rotterdam",51577
FC Twente,De Grolsch Veste,"Colosseum 65, 7521 PP Enschede",30205
AZ,AFAS Stadion,"Stadionweg 1, 1812 AZ Alkmaar",17023
Vitesse,GelreDome,"Batavierenweg 25, 6841 HN Arnhem",21000
FC Utrecht,Stadion Galgenwaard,"Herculesplein 241, 3584 AA Utrecht",23750
SC Heerenveen,Abe Lenstra Stadion,"Abe Lenstra Boulevard 19, 8448 JA Heerenveen",26500
Sparta Rotterdam,Het Kasteel,"Spartapark-Noord 1, 3027 VW Rotterdam",11026
Heracles Almelo,Erve Asito,"Van Riemsdijkplein 1, 7606 JA Almelo",12080
FC Groningen,Euroborg,"Boumaboulevard 41, 9723 ZS Groningen",22579
Willem II,Koning Willem II Stadion,"Goirlese Weg 34, 5026 PC Tilburg",14500
NEC,Goffertstadion,"Stadionplein 1, 6532 AJ Nijmegen",12500
PEC Zwolle,MAC³PARK Stadion,"Stadionplein 1, 8025 CP Zwolle",14000
Fortuna Sittard,Fortuna Sittard Stadion,"Milaanstraat 120, 6135 LH Sittard",12650
RKC Waalwijk,Mandemakers Stadion,"Akkerlaan 2, 5143 ND Waalwijk",7500
FC Emmen,De Oude Meerdijk,"Meerdijk 1, 7825 SG Emmen",8600
Cambuur,Cambuur Stadion,"Cambuurplein 44, 8921 RG Leeuwarden",10000
